,rank,link,rankChange,title,isNetflixOriginal,points,change,countriesCnt,totalCountries,days,totalDays,total
52,53,https://flixpatrol.com/title/vikings/,n/a,Vikings,The general title,8929,None,67,133,224,40,8929
53,54,https://flixpatrol.com/title/lost-in-space-2018/,n/a,Lost in Space,Netflix original title,8837,None,87,102,29,305,8837
54,55,https://flixpatrol.com/title/cobra-kai/,n/a,Cobra Kai,Netflix original title,8830,None,77,115,59,150,8830
55,56,https://flixpatrol.com/title/good-girls/,n/a,Good Girls,Netflix original title,8542,None,72,119,71,120,8542
56,57,https://flixpatrol.com/title/jurassic-world-camp-cretaceous/,n/a,Jurassic World: Camp Cretaceous,Netflix original title,8131,None,83,98,83,98,8131
57,58,https://flixpatrol.com/title/the-five-juanas/,n/a,The Five Juanas,The general title,8110,None,72,113,59,137,8110
58,59,https://flixpatrol.com/title/100-dias-para-enamorarnos/,n/a,100 Dias Para Enamorarnos,The general title,8071,None,17,475,125,65,8071
59,60,https://flixpatrol.com/title/the-snitch-cartel-origins/,n/a,The Snitch Cartel: Origins,Netflix original title,7815,None,16,488,86,91,7815
60,61,https://flixpatrol.com/title/the-bold-type/,n/a,The Bold Type,The general title,7715,None,57,135,180,43,7715
61,62,https://flixpatrol.com/title/the-circle-2020/,n/a,The Circle,Netflix original title,7708,None,55,140,74,104,7708
62,63,https://flixpatrol.com/title/locke-key/,n/a,Locke & Key,Netflix original title,7584,None,84,90,45,169,7584
63,64,https://flixpatrol.com/title/brooklyn-nine-nine/,n/a,Brooklyn Nine-Nine,The general title,7578,None,60,126,262,29,7578
64,65,https://flixpatrol.com/title/ragnarok-2020/,n/a,Ragnarok,Netflix original title,7540,None,79,95,42,180,7540
65,66,https://flixpatrol.com/title/titans/,n/a,Titans,Netflix original title,7320,None,82,89,22,333,7320
66,67,https://flixpatrol.com/title/nevertheless/,n/a,Nevertheless,Netflix original title,7235,None,44,164,105,69,7235
67,68,https://flixpatrol.com/title/hospital-playlist/,n/a,Hospital Playlist,Netflix original title,7105,None,16,444,227,31,7105
68,69,https://flixpatrol.com/title/the-cook-of-castamar/,n/a,The Cook of Castamar,Netflix original title,7006,None,66,106,133,53,7006
69,70,https://flixpatrol.com/title/the-cook-of-castamar/,n/a,The Cook of Castamar,Netflix original title,7006,None,66,106,133,53,7006
70,71,https://flixpatrol.com/title/demon-slayer-kimetsu-no-yaiba/,n/a,Demon Slayer: Kimetsu no Yaiba,The general title,6866,None,63,109,259,27,6866
71,72,https://flixpatrol.com/title/the-one-2021/,n/a,The One,Netflix original title,6824,None,71,96,36,190,6824
72,73,https://flixpatrol.com/title/emily-in-paris/,n/a,Emily in Paris,Netflix original title,6735,None,90,75,25,269,6735
73,74,https://flixpatrol.com/title/sky-rojo/,n/a,Sky Rojo,Netflix original title,6472,None,61,106,78,83,6472
74,75,https://flixpatrol.com/title/alice-in-borderland/,n/a,Alice in Borderland,Netflix original title,6458,None,70,92,62,104,6458
75,76,https://flixpatrol.com/title/crime-scene-the-vanishing-at-the-cecil-hotel/,n/a,Crime Scene: The Vanishing at the Cecil Hotel,Netflix original title,6240,None,79,79,21,297,6240
76,77,https://flixpatrol.com/title/startup/,n/a,StartUp,The general title,5978,None,62,96,59,101,5978
